Subject,Start Date,Description,Private
🎵《アニメイト限定グッズ》バンドモチーフネックレス Morfonica & RAISE A SUILEN 受注期間,01/04/2021,https://www.animate-onlineshop.jp/pd/1910132/,False
🎵《アニメイト限定グッズ再販》バンドモチーフネックレス 受注期間,01/04/2021,https://www.animate-onlineshop.jp/animetitle/index.php?aid=4845&nf=1&kw=%E3%83%A2%E3%83%81%E3%83%BC%E3%83%95%E3%83%8D%E3%83%83%E3%82%AF%E3%83%AC%E3%82%B9&spc=&scc=&ss=8&sl=0&nd%5B%5D=7,False
📺《22:00》ラウクレ上映会,01/04/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
📺《23:00》アニメ「BanG Dream! 2nd Season」#13（再）,01/04/2021,https://anime.bang-dream.com/2nd/,False
🌹Roselia 11th Single「ZEAL of proud」発売記念オンラインイベント,03/04/2021,https://bushiroad-music.com/839,False
🎧《19:00》RAISE A SUILEN SPECIAL ONLINE LIVE 2021,03/04/2021,https://bang-dream.com/events/ras-pwst,False
📻【第30回】Afterglowの夕焼けSTUDIO+,03/04/2021,https://hibiki-radio.jp/description/Afterglowplus/detail,False
🌈ぽぴばん！のおでかけin神戸,04/04/2021,https://bang-dream.com/events/popibang_koube,False
🎧RAISE A SUILEN 6th Single「mind of Prominence」発売記念オンラインイベント,04/04/2021,https://bushiroad-music.com/839,False
📻【第230回】バンドリ！ポッピンラジオ！,05/04/2021,https://hibiki-radio.jp/description/poppin-radio/detail,False
📻《20:30》【第12回】BanG Dream! Presents RoseliaのRADIO SHOUT!,05/04/2021,https://www.1242.com/bang_dream/,False
📻《21:00》モニカラジオ #51,06/04/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
🍰白鷺千聖　誕生日,06/04/2021,https://bang-dream.bushimo.jp/character/shirasagi-chisato/,False
📻【第114回】RAISE A SUILENのRADIO R･I･O･T,08/04/2021,https://hibiki-radio.jp/description/ras/detail,False
📺《22:00》バンドリ！TVLIVE 2021 #61,08/04/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
📺《23:00》アニメ「BanG Dream! 3rd Season」#1（再）,08/04/2021,https://anime.bang-dream.com/3rd/,False
📻【第31回】Afterglowの夕焼けSTUDIO+,10/04/2021,https://hibiki-radio.jp/description/Afterglowplus/detail,False
🦋Morfonica 2nd Single「ブルームブルーム」発売記念オンラインイベント,11/04/2021,https://bushiroad-music.com/839,False
🎧「JAPAN ONLINE FESTIVAL 2021 Spring」RAISE A SUILEN出演,11/04/2021,https://bang-dream.com/events/jof2021,False
